Service Area,Service Request,Ward,Neighbourhood
Street Maintenance,Potholes,Transcona,Kern Park
Street Maintenance,Potholes,River Heights - Fort Garry,Wellington Crescent
Garbage & Recycling,Missed Garbage Collection,St. Boniface,Norwood West
Street Maintenance,Sidewalk Repairs,Fort Rouge - East Fort Garry,Broadway-Assiniboine
Garbage & Recycling,Missed Garbage Collection,Mynarski,Jefferson
Street Maintenance,Potholes,St. James,Booth
Garbage & Recycling,Missed Recycling Collection,Transcona,Southland Park
Garbage & Recycling,Missed Garbage Collection,Transcona,Southland Park
Garbage & Recycling,Missed Garbage Collection,North Kildonan,River East
Garbage & Recycling,Missed Garbage Collection,Waverley West,Bridgwater Lakes
Garbage & Recycling,Missed Garbage Collection,Daniel McIntyre,Daniel Mcintyre
Street Maintenance,Potholes,Daniel McIntyre,Wolseley
Water,Water Main Leak,St. James,Booth
Street Maintenance,Potholes,Point Douglas,Shaughnessy Park
Insect Control,Tree Pest Caterpillar Complaint,Elmwood - East Kildonan,Talbot-Grey
Street Maintenance,Sidewalk Repairs,Elmwood - East Kildonan,Valley Gardens
Parks and Urban Foresty,Boulevard Mowing,Mynarski,Jefferson
Parks and Urban Foresty,Boulevard Mowing,St. Vital,Sage Creek
Street Maintenance,Sidewalk Repairs,Mynarski,St. John's
Street Maintenance,Potholes,Charleswood - Tuxedo - Westwood,Westwood
Garbage & Recycling,Missed Garbage Collection,Waverley West,Waverley Heights
Garbage & Recycling,Missed Recycling Collection,Waverley West,Waverley Heights
Street Maintenance,Sidewalk Repairs,Fort Rouge - East Fort Garry,Point Road
Street Maintenance,Potholes,St. Vital,Minnetonka
Garbage & Recycling,Missed Garbage Collection,St. James,King Edward
Street Maintenance,Potholes,St. James,Silver Heights
Street Maintenance,Potholes,Old Kildonan,The Maples
Insect Control,Tree Pest Caterpillar Complaint,Daniel McIntyre,Wolseley
Street Maintenance,Potholes,St. James,St. James Industrial
Water,Water Main Leak,Elmwood - East Kildonan,East Elmwood
Garbage & Recycling,Missed Recycling Collection,Waverley West,Bridgwater Lakes
Street Maintenance,Potholes,Mynarski,North Point Douglas
Garbage & Recycling,Missed Recycling Collection,St. Norbert - Seine River,Dakota Crossing
Garbage & Recycling,Missed Garbage Collection,St. Boniface,Norwood West
Street Maintenance,Potholes,Old Kildonan,The Maples
Garbage & Recycling,Missed Garbage Collection,Fort Rouge - East Fort Garry,Lord Roberts
Street Maintenance,Potholes,River Heights - Fort Garry,South River Heights
Street Maintenance,Sidewalk Repairs,Point Douglas,Centennial
Street Maintenance,Litter Container Complaint,St. James,St. James Industrial
Water,Water Main Leak,North Kildonan,Rossmere-A
Street Maintenance,Potholes,St. James - Brooklands - Weston,Bruce Park
Street Maintenance,Litter Container Complaint,St. James,St. James Industrial
Parks and Urban Foresty,Boulevard Mowing,Fort Rouge - East Fort Garry,Broadway-Assiniboine
Garbage & Recycling,Missed Recycling Collection,Charleswood - Tuxedo - Westwood,Westwood
Street Maintenance,Potholes,Daniel McIntyre,Wolseley
Garbage & Recycling,Missed Garbage Collection,Elmwood - East Kildonan,Munroe East
Garbage & Recycling,Missed Garbage Collection,Waverley West,Bridgwater Lakes
Street Maintenance,Potholes,St. James,Bruce Park
Garbage & Recycling,Missed Recycling Collection,St. James,Deer Lodge
Water,Water Main Leak,Fort Rouge - East Fort Garry,Riverview
Garbage & Recycling,Missed Recycling Collection,Charleswood - Tuxedo - Westwood,Westdale
Garbage & Recycling,Missed Garbage Collection,North Kildonan,Rossmere-A
Garbage & Recycling,Missed Garbage Collection,St. Vital,Pulberry
Water,Water Main Leak,St. James,King Edward
Street Maintenance,Sanding,Point Douglas,Tyndall Park
Street Maintenance,Frozen Catch Basin,Old Kildonan,Rosser-Old Kildonan
Street Maintenance,Frozen Catch Basin,Fort Rouge - East Fort Garry,Earl Grey
Street Maintenance,Frozen Catch Basin,Elmwood - East Kildonan,Munroe West
Garbage & Recycling,Missed Recycling Collection,Elmwood - East Kildonan,Glenelm
Street Maintenance,Potholes,Elmwood - East Kildonan,Munroe West
Garbage & Recycling,Missed Garbage Collection,Charleswood - Tuxedo,Roblin Park
Garbage & Recycling,Missed Garbage Collection,Point Douglas,Tyndall Park
Garbage & Recycling,Missed Garbage Collection,North Kildonan,River East
Garbage & Recycling,Missed Garbage Collection,St. Norbert - Seine River,Dakota Crossing
Garbage & Recycling,Missed Garbage Collection,Transcona,Kildare-Redonda
Garbage & Recycling,Missed Garbage Collection,River Heights - Fort Garry,Crescentwood
Street Maintenance,Potholes,St. Boniface,Island Lakes
Garbage & Recycling,Missed Garbage Collection,North Kildonan,Rossmere-A
Insect Control,Tree Pest Caterpillar Complaint,Daniel McIntyre,Wolseley
